08-18 22:19:55.775  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onCreateOptionsMenu: Line 195)
08-18 22:19:55.785  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreateOptionsMenu: Line 265)
08-18 22:19:55.785  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 127)
08-18 22:19:55.785  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 130)
08-18 22:19:55.795  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ showGlobalContextActionBar: Line 294)
08-18 22:19:55.795  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ getActionBar: Line 303)
08-18 22:19:55.795  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ getActionBar: Line 305)
08-18 22:19:55.805  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ showGlobalContextActionBar: Line 299)
08-18 22:19:55.805  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onCreateOptionsMenu: Line 273)
08-18 22:19:55.825  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onActivityCreated: Line 96)
08-18 22:19:55.825  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onAttach: Line 114)
08-18 22:19:55.825  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onSectionAttached: Line 158)
08-18 22:19:55.825  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onSectionAttached: Line 170)
08-18 22:19:55.825  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onAttach: Line 118)
08-18 22:19:55.825  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onCreateView: Line 86)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ operateDatabase: Line 185)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ displayListView: Line 124)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(BookContentProvider﹕ getContentUri: Line 345)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app I/Leave----->(BookContentProvider﹕ getContentUri: Line 350)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(BookContentProvider﹕ query: Line 119)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app I/Enter----->(BookContentProvider﹕ getTableName: Line 320)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/dalvikvm﹕ threadid=1: thread exiting with uncaught exception (group=0x41bd8438)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ java.lang.RuntimeException: Unable to start activity ComponentInfo{com.jessicaxu.ReadJiffy.app/com.jessicaxu.ReadJiffy.app.ui.MainActivity}: java.lang.IllegalArgumentException: Unknown URI content://com.jessicaxu.ReadJiffy.app.content.bookcp/Reading
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2077)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2102)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.ActivityThread.access$600(ActivityThread.java:137)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1210)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.os.Handler.dispatchMessage(Handler.java:99)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.os.Looper.loop(Looper.java:137)
08-18 22:19:55.835  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.ActivityThread.main(ActivityThread.java:4815)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at java.lang.reflect.Method.invokeNative(Native Method)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at java.lang.reflect.Method.invoke(Method.java:511)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:842)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:609)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at dalvik.system.NativeStart.main(Native Method)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ Caused by: java.lang.IllegalArgumentException: Unknown URI content://com.jessicaxu.ReadJiffy.app.content.bookcp/Reading
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.jessicaxu.ReadJiffy.app.content.BookCP.getTableName(BookCP.java:337)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.jessicaxu.ReadJiffy.app.content.BookCP.query(BookCP.java:124)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.content.ContentProvider.query(ContentProvider.java:658)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.content.ContentProvider$Transport.query(ContentProvider.java:189)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.content.ContentResolver.query(ContentResolver.java:370)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.content.ContentResolver.query(ContentResolver.java:313)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.jessicaxu.ReadJiffy.app.ui.ContentFragment.displayListView(ContentFragment.java:163)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.jessicaxu.ReadJiffy.app.ui.ContentFragment.onCreateView(ContentFragment.java:106)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.support.v4.app.Fragment.performCreateView(Fragment.java:1500)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:938)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1115)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.support.v4.app.BackStackRecord.run(BackStackRecord.java:682)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.support.v4.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1478)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.support.v4.app.FragmentActivity.onStart(FragmentActivity.java:570)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at com.jessicaxu.ReadJiffy.app.ui.MainActivity.onStart(MainActivity.java:78)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.Instrumentation.callActivityOnStart(Instrumentation.java:1163)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.Activity.performStart(Activity.java:5023)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2050)
08-18 22:19:55.845  11679-11679/com.jessicaxu.ReadJiffy.app W/System.err﹕ ... 11 more
在模拟器上运行没有问题，在手机上运行出现这个异常。

