07-26 17:56:19.969    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ BookDatabase: Line 112)
07-26 17:56:19.969    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ BookDatabase: Line 114)
07-26 17:56:19.969    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ operateDatabase: Line 199)
07-26 17:56:19.969    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ open: Line 119)
07-26 17:56:20.039    5108-5108/com.jessicaxu.ReadJiffy.app W/System.err﹕ Invalid int: ""
07-26 17:56:20.119    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ DatabaseHelper:onCreate: Line 82)
07-26 17:56:20.119    5108-5108/com.jessicaxu.ReadJiffy.app W/BookDbAdapter﹕ CREATE TABLE if not exists Reading (_id integer PRIMARY KEY autoincrement,BookName,Author,Status,Percent,Time, UNIQUE (BookName));
07-26 17:56:20.129    5108-5108/com.jessicaxu.ReadJiffy.app W/BookDbAdapter﹕ CREATE TABLE if not exists Finished (_id integer PRIMARY KEY autoincrement,BookName,Author,Status,Percent,Time, UNIQUE (BookName));
07-26 17:56:20.139    5108-5108/com.jessicaxu.ReadJiffy.app W/BookDbAdapter﹕ CREATE TABLE if not exists Want (_id integer PRIMARY KEY autoincrement,BookName,Author,Status,Percent,Time, UNIQUE (BookName));
07-26 17:56:20.149    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ DatabaseHelper:onCreate: Line 91)
07-26 17:56:20.199    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ open: Line 122)
07-26 17:56:20.199    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ close: Line 128)
07-26 17:56:20.209    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ close: Line 132)
07-26 17:56:20.209    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ operateDatabase: Line 230)
07-26 17:56:20.219    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ displayListView: Line 126)
07-26 17:56:20.249    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ open: Line 119)
07-26 17:56:20.249    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ open: Line 122)
07-26 17:56:20.249    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ fetchAllBooks: Line 190)
07-26 17:56:20.259    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ fetchAllBooks: Line 198)
07-26 17:56:20.259    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ close: Line 128)
07-26 17:56:20.259    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ close: Line 132)
07-26 17:56:20.259    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ displayListView: Line 179)
07-26 17:56:20.259    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ restoreActionBar: Line 117)
07-26 17:56:20.259    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ restoreActionBar: Line 122)
07-26 17:56:20.269    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onCreateView: Line 110)
07-26 17:56:20.329    5108-5111/com.jessicaxu.ReadJiffy.app E/dalvikvm﹕ GC_CONCURRENT freed 1465K, 19% free 8475K/10375K, paused 12ms+24ms, total 54ms
07-26 17:56:20.379    5108-5108/com.jessicaxu.ReadJiffy.app I/Adreno200-EGL﹕ <qeglDrvAPI_eglInitialize:299>: EGL 1.4 QUALCOMM build: AU_LINUX_ANDROID_JB_REL_2.0.3_RB4.04.01.02.52.006_msm8625_JB_REL_2.0.3_CL2949488_release_AU (CL2949488)
    Build Date: 01/11/13 Fri
    Local Branch:
    Remote Branch: quic/jb_rel_2.0.3
    Local Patches: NONE
    Reconstruct Branch: AU_LINUX_ANDROID_JB_REL_2.0.3_RB4.04.01.02.52.006 +  NOTHING
07-26 17:56:20.399    5108-5108/com.jessicaxu.ReadJiffy.app E/copybit﹕ Error opening frame buffer errno=13 (Permission denied)
07-26 17:56:20.399    5108-5108/com.jessicaxu.ReadJiffy.app W/Adreno200-EGLSUB﹕ <updater_create_surface_state:342>: updater_create_surface_state failed to open copybit, error: -13
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ selectItem: Line 214)
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onNavigationDrawerItemSelected: Line 89)
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ :newInstance)
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ ContentFragment: Line 81)
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ ContentFragment: Line 82)
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ :newInstance)
07-26 17:56:28.470    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onNavigationDrawerItemSelected: Line 97)
07-26 17:56:28.480    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ selectItem: Line 225)
07-26 17:56:28.490    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onAttach: Line 116)
07-26 17:56:28.490    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onSectionAttached: Line 101)
07-26 17:56:28.490    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onSectionAttached: Line 113)
07-26 17:56:28.490    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onAttach: Line 120)
07-26 17:56:28.490    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onCreateView: Line 88)
07-26 17:56:28.510    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ BookDatabase: Line 112)
07-26 17:56:28.510    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ BookDatabase: Line 114)
07-26 17:56:28.510    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ operateDatabase: Line 199)
07-26 17:56:28.510    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ open: Line 119)
07-26 17:56:28.580    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ open: Line 122)
07-26 17:56:28.580    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ close: Line 128)
07-26 17:56:28.580    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ close: Line 132)
07-26 17:56:28.580    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ operateDatabase: Line 230)
07-26 17:56:28.580    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ displayListView: Line 126)
07-26 17:56:28.580    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ open: Line 119)
07-26 17:56:28.590    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ open: Line 122)
07-26 17:56:28.590    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ fetchAllBooks: Line 190)
07-26 17:56:28.600    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ fetchAllBooks: Line 198)
07-26 17:56:28.600    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(BookDatabase﹕ close: Line 128)
07-26 17:56:28.600    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(BookDatabase﹕ close: Line 132)
07-26 17:56:28.600    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ displayListView: Line 179)
07-26 17:56:28.600    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ restoreActionBar: Line 117)
07-26 17:56:28.610    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ restoreActionBar: Line 122)
07-26 17:56:28.610    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onCreateView: Line 110)
07-26 17:56:28.869    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onCreateOptionsMenu: Line 128)
07-26 17:56:28.869    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 130)
07-26 17:56:28.869    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 133)
07-26 17:56:28.879    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ restoreActionBar: Line 117)
07-26 17:56:28.879    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ restoreActionBar: Line 122)
07-26 17:56:28.889    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreateOptionsMenu: Line 268)
07-26 17:56:28.889    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 130)
07-26 17:56:28.889    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ isDrawerOpen: Line 133)
07-26 17:56:28.899    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onCreateOptionsMenu: Line 276)
07-26 17:56:33.769    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onOptionsItemSelected: Line 144)
07-26 17:56:33.769    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ addBook: Line 163)
07-26 17:56:33.799    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ addBook: Line 166)
07-26 17:56:33.819    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(AddBookActivity﹕ onCreate: Line 25)
07-26 17:56:33.889    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(AddBookActivity﹕ onCreate: Line 38)
07-26 17:56:33.969    5108-5108/com.jessicaxu.ReadJiffy.app E/copybit﹕ Error opening frame buffer errno=13 (Permission denied)
07-26 17:56:33.969    5108-5108/com.jessicaxu.ReadJiffy.app W/Adreno200-EGLSUB﹕ <updater_create_surface_state:342>: updater_create_surface_state failed to open copybit, error: -13
07-26 17:56:33.989    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(AddBookActivity﹕ onCreateOptionsMenu: Line 45)
07-26 17:56:33.989    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(AddBookActivity﹕ onCreateOptionsMenu: Line 47)
07-26 17:56:34.309    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onSaveInstanceState: Line 250)
07-26 17:56:34.309    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onSaveInstanceState: Line 254)
